Site,Date,device_number,PM25_CinC,PM25_EPA_FRM
0034,2025-04-22,3,2.2256666666666667,3.7
0034,2025-04-25,11,5.163666666666667,5.5
0034,2025-04-25,15,5.582133333333333,5.5
0034,2025-04-25,2,5.424529411764706,5.5
0034,2025-04-25,24,5.048321428571429,5.5
0034,2025-04-25,3,4.640051282051282,5.5
0034,2025-04-28,11,3.7013333333333334,4.3
0034,2025-04-28,15,5.473484848484849,4.3
0034,2025-04-28,2,3.3599166666666664,4.3
0034,2025-04-28,24,3.724696428571429,4.3
0034,2025-04-28,3,2.4941632653061228,4.3
0034,2025-05-01,11,4.387,6.8
0034,2025-05-01,15,5.9004375,6.8
0034,2025-05-01,2,5.0045,6.8
0034,2025-05-01,24,4.326890625,6.8
0034,2025-05-01,3,4.140808510638299,6.8
0038,2024-11-05,7,3.7235714285714288,6.4
0038,2024-11-08,7,9.996294117647059,4.45
0038,2024-11-11,7,7.4526,2.95
0038,2024-11-14,18,7.447217391304348,8.15
0038,2024-11-14,30,4.76138,8.15
0038,2024-11-14,7,13.1867,8.15
0038,2024-11-17,18,15.55337037037037,9.75
0038,2024-11-17,30,14.075425000000001,9.75
0038,2024-11-17,7,15.067324324324325,9.75
0038,2024-11-20,18,14.141113207547171,6.65
0038,2024-11-20,30,19.040392857142855,6.65
0038,2024-11-20,7,13.356304347826088,6.65
0038,2024-11-23,18,2.467,1.5
0038,2024-11-23,30,1.6677142857142857,1.5
0038,2024-11-23,7,2.0450666666666666,1.5
0038,2024-11-26,18,11.199240740740741,4.45
0038,2024-11-26,30,11.77795744680851,4.45
0038,2024-11-26,7,9.486952380952381,4.45
0038,2024-11-29,18,9.56075925925926,6.45
0038,2024-11-29,30,7.958259259259259,6.45
0038,2024-11-29,7,7.187793103448276,6.45
0038,2024-12-02,18,11.20798113207547,8.25
0038,2024-12-02,30,9.941972972972973,8.25
0038,2024-12-02,7,9.993645161290322,8.25
0038,2024-12-05,18,6.396603773584905,2
0038,2024-12-05,28,6.808076923076923,2
0038,2024-12-05,30,7.501351351351351,2
0038,2024-12-05,7,5.900148148148149,2
0038,2024-12-08,18,6.325648148148148,9.850000000000001
0038,2024-12-08,28,7.208296296296297,9.850000000000001
0038,2024-12-08,30,6.733333333333333,9.850000000000001
0038,2024-12-08,7,5.833785714285714,9.850000000000001
0038,2024-12-11,18,30.884163265306118,8.4
0038,2024-12-11,28,35.56171698113208,8.4
0038,2024-12-11,30,25.849106382978725,8.4
0038,2024-12-11,7,23.283096774193545,8.4
0038,2024-12-14,18,10.028190476190476,12.600000000000001
0038,2024-12-14,28,10.46288888888889,12.600000000000001
0038,2024-12-14,30,9.763168831168832,12.600000000000001
0038,2024-12-14,7,9.048433333333334,12.600000000000001
0038,2024-12-17,18,11.997240740740741,8.25
0038,2024-12-17,28,11.317407407407407,8.25
0038,2024-12-17,30,7.32725,8.25
0038,2024-12-17,7,10.58695,8.25
0038,2024-12-20,18,19.383333333333333,8.9
0038,2024-12-20,28,21.47251851851852,8.9
0038,2024-12-20,30,17.969739999999998,8.9
0038,2024-12-20,7,16.709038461538462,8.9
0038,2024-12-23,18,6.701045454545455,9.4
0038,2024-12-23,28,6.85624074074074,9.4
0038,2024-12-23,30,7.293669724770642,9.4
0038,2024-12-23,7,7.519159999999999,9.4
0038,2024-12-26,18,14.115254545454546,11.2
0038,2024-12-26,28,15.350771929824562,11.2
0038,2024-12-26,30,13.550524390243902,11.2
0038,2024-12-26,7,13.634555555555556,11.2
0038,2024-12-29,18,15.872981132075472,6.45
0038,2024-12-29,28,13.864625,6.45
0038,2024-12-29,30,14.724280373831773,6.45
0038,2024-12-29,7,17.71557142857143,6.45
0038,2025-01-01,18,11.461711538461538,2.45
0038,2025-01-01,28,11.728603773584904,2.45
0038,2025-01-01,30,9.655097560975609,2.45
0038,2025-01-01,7,7.31178125,2.45
0038,2025-01-04,18,2.5532500000000002,3.15
0038,2025-01-04,28,3.7102105263157896,3.15
0038,2025-01-04,30,2.565243243243243,3.15
0038,2025-01-04,7,2.3179666666666665,3.15
0038,2025-01-07,18,2.494943396226415,1.65
0038,2025-01-07,28,2.621,1.65
0038,2025-01-07,30,2.272676470588235,1.65
0038,2025-01-07,7,1.8463928571428572,1.65
0038,2025-01-10,18,17.30351851851852,24.950000000000003
0038,2025-01-10,28,14.78287037037037,24.950000000000003
0038,2025-01-10,30,12.047433333333334,24.950000000000003
0038,2025-01-10,7,12.361739130434783,24.950000000000003
0038,2025-01-13,18,7.460788461538462,5.550000000000001
0038,2025-01-13,28,8.60135294117647,5.550000000000001
0038,2025-01-13,30,7.356438356164384,5.550000000000001
0038,2025-01-13,7,7.612033333333334,5.550000000000001
0038,2025-01-16,18,19.360396226415094,17.25
0038,2025-01-16,28,20.58227777777778,17.25
0038,2025-01-16,30,16.11615873015873,17.25
0038,2025-01-16,7,16.68544,17.25
0038,2025-01-19,18,2.5816666666666666,1.95
0038,2025-01-19,28,3.67766,1.95
0038,2025-01-19,30,2.927864864864865,1.95
0038,2025-01-19,7,2.884081081081081,1.95
0038,2025-01-22,18,3.83648,12.4
0038,2025-01-22,28,5.0844,12.4
0038,2025-01-22,30,3.997723404255319,12.4
0038,2025-01-22,7,2.118344827586207,12.4
0038,2025-01-25,18,12.849685185185185,15.05
0038,2025-01-25,28,15.019052631578948,15.05
0038,2025-01-25,30,14.16116,15.05
0038,2025-01-25,7,11.541826086956522,15.05
0038,2025-01-28,18,4.598692307692308,5.35
0038,2025-01-28,28,5.94464705882353,5.35
0038,2025-01-28,30,5.245923076923077,5.35
0038,2025-01-28,7,4.313422222222222,5.35
0038,2025-01-31,18,22.07065217391304,15
0038,2025-01-31,28,25.629227272727277,15
0038,2025-01-31,30,13.882882352941175,15
0038,2025-01-31,7,13.387619047619049,15
0038,2025-02-03,18,44.8342037037037,17.5
0038,2025-02-03,28,47.26081132075472,17.5
0038,2025-02-03,30,65.95328395061728,17.5
0038,2025-02-03,7,41.095666666666666,17.5
0038,2025-02-06,18,9.921153846153846,8.35
0038,2025-02-06,28,19.527471698113207,8.35
0038,2025-02-06,30,13.486,8.35
0038,2025-02-06,7,21.81058064516129,8.35
0038,2025-02-09,18,9.097999999999999,7.75
0038,2025-02-09,28,20.041767857142855,7.75
0038,2025-02-09,30,20.635934782608697,7.75
0038,2025-02-09,7,17.551000000000002,7.75
0038,2025-02-12,28,30.02001923076923,16.549999999999997
0038,2025-02-12,30,22.338830985915493,16.549999999999997
0038,2025-02-12,7,19.84436363636364,16.549999999999997
0038,2025-02-15,28,18.833147540983607,13.6
0038,2025-02-15,30,13.174105882352942,13.6
0038,2025-02-15,7,15.625714285714286,13.6
0038,2025-02-18,18,3.602462962962963,5
0038,2025-02-18,28,3.7127037037037036,5
0038,2025-02-18,30,3.830974358974359,5
0038,2025-02-18,7,2.8351304347826085,5
0038,2025-02-21,18,3.4054363636363636,4.550000000000001
0038,2025-02-21,28,3.3504423076923078,4.550000000000001
0038,2025-02-21,30,4.06775,4.550000000000001
0038,2025-02-21,7,2.622037037037037,4.550000000000001
0038,2025-02-24,18,12.590981818181817,12.35
0038,2025-02-24,28,12.85915909090909,12.35
0038,2025-02-24,30,12.241037037037037,12.35
0038,2025-02-24,7,10.819090909090908,12.35
0038,2025-02-27,18,47.24823404255319,14.7
0038,2025-02-27,28,32.963521739130435,14.7
0038,2025-02-27,30,48.95328985507246,14.7
0038,2025-02-27,7,81.17715909090909,14.7
0038,2025-03-02,17,3.0363333333333333,2.9
0038,2025-03-02,18,3.15854,2.9
0038,2025-03-02,28,3.38011320754717,2.9
0038,2025-03-02,7,3.108030303030303,2.9
0038,2025-03-05,17,4.422977272727273,5
0038,2025-03-05,18,5.059266666666667,5
0038,2025-03-05,28,4.93475,5
0038,2025-03-05,7,5.764739130434783,5
0038,2025-03-08,17,18.467185185185187,3.1
0038,2025-03-08,18,11.550230769230767,3.1
0038,2025-03-08,28,16.266489795918368,3.1
0038,2025-03-08,7,11.27025,3.1
0038,2025-03-11,18,5.979613636363636,5.2
0038,2025-03-11,28,5.7264067796610165,5.2
0038,2025-03-11,7,5.74425,5.2
0038,2025-03-14,17,12.291,17.15
0038,2025-03-14,18,12.816607843137255,17.15
0038,2025-03-14,28,11.484714285714286,17.15
0038,2025-03-14,7,10.65296,17.15
0038,2025-03-17,17,3.6125555555555557,3.6
0038,2025-03-17,18,3.3690185185185184,3.6
0038,2025-03-17,28,3.97036,3.6
0038,2025-03-17,7,3.6333076923076923,3.6
0038,2025-03-20,17,4.2563571428571425,6.25
0038,2025-03-20,18,3.1764313725490196,6.25
0038,2025-03-20,28,4.101224489795919,6.25
0038,2025-03-20,7,3.907086956521739,6.25
0038,2025-03-23,17,5.731489361702128,7.35
0038,2025-03-23,18,6.384452830188679,7.35
0038,2025-03-23,28,5.963649122807018,7.35
0038,2025-03-23,7,6.33616,7.35
0038,2025-03-26,17,3.3915416666666665,5.35
0038,2025-03-26,18,3.457134615384615,5.35
0038,2025-03-26,28,3.748625,5.35
0038,2025-03-26,7,3.2091379310344825,5.35
0038,2025-03-29,18,10.01095,14.3
0038,2025-03-29,28,11.700781818181818,14.3
0038,2025-03-29,7,9.287846153846154,14.3
0038,2025-04-01,18,4.432192307692308,4.75
0038,2025-04-01,28,4.948454545454545,4.75
0038,2025-04-01,7,2.6577777777777776,4.75
0038,2025-04-04,18,3.3367962962962965,5.9
0038,2025-04-04,28,3.608471698113208,5.9
0038,2025-04-04,7,2.5135744680851064,5.9
0038,2025-04-07,18,9.359188679245282,7.3
0038,2025-04-07,28,7.694960784313726,7.3
0038,2025-04-07,7,6.248690476190476,7.3
0038,2025-04-10,18,25.527442307692308,10.4
0038,2025-04-10,28,26.507727272727273,10.4
0038,2025-04-10,7,25.936863636363636,10.4
0038,2025-04-11,18,13.297462962962962,7.050000000000001
0038,2025-04-11,28,16.850787234042553,7.050000000000001
0038,2025-04-11,7,12.553432432432432,7.050000000000001
0038,2025-04-13,18,9.196518518518518,8.95
0038,2025-04-13,28,11.496696428571427,8.95
0038,2025-04-13,7,8.510046511627907,8.95
0038,2025-04-16,18,2.5739464285714284,3.6
0038,2025-04-16,28,3.341192307692308,3.6
0038,2025-04-16,7,2.7805531914893615,3.6
0038,2025-04-19,18,8.89615,9.399999999999999
0038,2025-04-19,28,11.252018181818181,9.399999999999999
0038,2025-04-19,7,9.097081632653062,9.399999999999999
0038,2025-04-22,18,2.134037037037037,5.85
0038,2025-04-22,28,2.229078431372549,5.85
0038,2025-04-22,7,2.0285510204081634,5.85
0038,2025-04-25,18,44.29076923076923,8.95
0038,2025-04-25,28,7.6407799999999995,8.95
0038,2025-04-25,7,6.424363636363636,8.95
0038,2025-04-28,18,579.5019333333332,11.15
0038,2025-04-28,28,4.290607142857143,11.15
0038,2025-04-28,7,5.801,11.15
0038,2025-05-01,28,6.274796296296296,9.85
0038,2025-05-01,7,6.4491764705882355,9.85
0045,2024-11-02,19,4.037333333333333,1.5
0045,2024-11-05,19,5.143,4
0045,2024-11-08,19,9.412333333333333,5.5
0045,2024-11-08,21,9.791333333333334,5.5
0045,2024-11-08,25,8.76873076923077,5.5
0045,2024-11-11,19,6.1905,3.7
0045,2024-11-11,21,6.024979591836734,3.7
0045,2024-11-11,25,4.681846153846154,3.7
0045,2024-11-14,19,3.7721111111111107,2.3
0045,2024-11-14,21,4.579586956521739,2.3
0045,2024-11-14,25,16.457652173913043,2.3
0045,2024-11-17,21,11.10890909090909,5.6
0045,2024-11-17,25,9.809884615384615,5.6
0045,2024-11-20,19,1.7440000000000002,NA
0045,2024-11-20,21,9.284512195121952,NA
0045,2024-11-20,25,22.76741666666667,NA
0045,2024-11-23,19,2.929826086956522,1.2
0045,2024-11-23,21,2.4860408163265304,1.2
0045,2024-11-23,25,2.3085,1.2
0045,2024-11-26,19,18.01193333333333,NA
0045,2024-11-26,21,12.67034693877551,NA
0045,2024-11-26,25,14.187499999999998,NA
0045,2024-11-28,19,20.2885,1.8
0045,2024-11-28,21,12.73870588235294,1.8
0045,2024-11-28,25,11.676192307692308,1.8
0045,2024-11-29,19,9.796444444444445,2.9
0045,2024-11-29,21,9.450418181818181,2.9
0045,2024-11-29,25,9.663923076923076,2.9
0045,2024-12-02,19,8.959222222222222,3.4
0045,2024-12-02,21,12.431860465116278,3.4
0045,2024-12-02,25,9.760521739130434,3.4
0045,2024-12-05,19,10.439777777777778,1.8
0045,2024-12-05,21,6.974363636363636,1.8
0045,2024-12-05,25,7.42025806451613,1.8
0045,2024-12-08,19,6.019714285714286,3.2
0045,2024-12-08,21,7.33609756097561,3.2
0045,2024-12-08,25,6.773359999999999,3.2
0045,2024-12-11,19,23.946,3.6
0045,2024-12-11,21,21.291040000000002,3.6
0045,2024-12-11,25,22.703576923076923,3.6
0045,2024-12-14,19,10.134636363636364,5.2
0045,2024-12-14,21,9.001617021276596,5.2
0045,2024-12-14,25,6.37,5.2
0045,2024-12-17,19,11.420111111111112,5.2
0045,2024-12-17,21,11.524040816326531,5.2
0045,2024-12-17,25,11.368777777777778,5.2
0045,2024-12-20,19,22.6755,4.4
0045,2024-12-20,21,17.63648,4.4
0045,2024-12-20,25,16.20408695652174,4.4
0045,2024-12-23,19,7.0725454545454545,4
0045,2024-12-23,21,6.552208333333334,4
0045,2024-12-23,25,6.970411764705882,4
0045,2024-12-26,19,18.677333333333333,5
0045,2024-12-26,21,13.6586,5
0045,2024-12-26,25,16.50433333333333,5
0045,2024-12-29,19,8.472285714285714,2.5
0045,2024-12-29,21,7.784916666666667,2.5
0045,2024-12-29,25,7.21348275862069,2.5
0045,2025-01-01,19,12.833400000000001,4.1
