location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T02:02:42Z,mc_pm2_5,10.152
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T01:57:11Z,mc_pm2_5,17.029
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T01:32:42Z,mc_pm2_5,9.402
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T01:27:10Z,mc_pm2_5,9.034
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T01:02:42Z,mc_pm2_5,8.892
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T00:59:14Z,mc_pm2_5,7.284
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T00:57:10Z,mc_pm2_5,10.84
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T00:32:42Z,mc_pm2_5,7.284
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T00:27:10Z,mc_pm2_5,5.035
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T00:02:42Z,mc_pm2_5,4.768
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T23:57:10Z,mc_pm2_5,6.202
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T23:32:42Z,mc_pm2_5,8.77
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T23:27:17Z,mc_pm2_5,13.427
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T23:02:43Z,mc_pm2_5,7.724
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T22:57:10Z,mc_pm2_5,11.791
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T22:32:43Z,mc_pm2_5,10.383
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T22:27:17Z,mc_pm2_5,14.229
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T22:02:43Z,mc_pm2_5,8.977
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T21:57:10Z,mc_pm2_5,20.328
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T21:44:51Z,mc_pm2_5,12.434
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T21:32:43Z,mc_pm2_5,12.434
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T21:27:10Z,mc_pm2_5,9.822
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T21:02:43Z,mc_pm2_5,12.552
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T20:57:10Z,mc_pm2_5,16.124
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T20:32:43Z,mc_pm2_5,14.451
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T20:27:10Z,mc_pm2_5,20.035
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T20:24:32Z,mc_pm2_5,20.035
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T20:02:43Z,mc_pm2_5,17.561
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T19:56:47Z,mc_pm2_5,20.035
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T19:32:43Z,mc_pm2_5,12.609
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T19:26:47Z,mc_pm2_5,23.585
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T19:02:43Z,mc_pm2_5,21.037
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T18:56:47Z,mc_pm2_5,26.308
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T18:39:01Z,mc_pm2_5,18.764
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T18:32:43Z,mc_pm2_5,18.764
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T18:26:54Z,mc_pm2_5,11.876
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T18:02:43Z,mc_pm2_5,13.114
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T17:56:54Z,mc_pm2_5,16.093
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T17:32:43Z,mc_pm2_5,10.027
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T17:26:47Z,mc_pm2_5,10.078
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T17:16:32Z,mc_pm2_5,12.401
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T17:02:43Z,mc_pm2_5,9.831
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T16:56:47Z,mc_pm2_5,12.401
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T16:32:43Z,mc_pm2_5,7.651
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T16:26:47Z,mc_pm2_5,11.217
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T16:02:43Z,mc_pm2_5,7.457
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T15:56:47Z,mc_pm2_5,11.704
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T15:32:52Z,mc_pm2_5,11.873
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T15:26:47Z,mc_pm2_5,13.309
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T15:15:12Z,mc_pm2_5,9.475
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T15:02:52Z,mc_pm2_5,9.475
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T14:56:47Z,mc_pm2_5,12.482
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T14:33:18Z,mc_pm2_5,9.276
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T14:26:47Z,mc_pm2_5,13.14
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T14:03:19Z,mc_pm2_5,8.58
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T13:59:36Z,mc_pm2_5,10.206
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T13:56:47Z,mc_pm2_5,10.206
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T13:33:19Z,mc_pm2_5,9.553
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T13:26:47Z,mc_pm2_5,15.431
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T13:03:19Z,mc_pm2_5,9.161
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T12:56:54Z,mc_pm2_5,17.758
