"device_number","time","value"
12,2025-01-14 04:22:25.517,3.802
20,2025-01-14 04:20:01.901,5.781
7,2025-01-14 04:16:47.725,1.975
24,2025-01-14 04:15:50.795,3.072
18,2025-01-14 04:12:16.639,1.836
24,2025-01-14 04:11:54.331,3.072
3,2025-01-14 04:10:13.588,3.04
9,2025-01-14 04:09:54.473,2.025
23,2025-01-14 04:09:08.015,2.426
13,2025-01-14 04:07:33.309,2.829
28,2025-01-14 04:04:12.9,6.265
21,2025-01-14 04:03:41.653,5.361
25,2025-01-14 03:58:29.011,3.44
30,2025-01-14 03:56:55.92,2.648
27,2025-01-14 03:54:10.926,1.423
12,2025-01-14 03:52:25.501,5.859
20,2025-01-14 03:50:01.89,3.146
7,2025-01-14 03:46:46.258,2.136
30,2025-01-14 03:46:25.968,3.577
15,2025-01-14 03:46:04.675,2.124
18,2025-01-14 03:42:16.598,2.973
24,2025-01-14 03:41:54.313,8.49
21,2025-01-14 03:41:02.141,3
3,2025-01-14 03:40:13.558,5.198
