"device_number","time","value"
24,2025-01-03 14:16:11.491,19.708
24,2025-01-03 13:46:11.454,17.634
24,2025-01-03 13:34:31.929,14.054
24,2025-01-03 13:16:11.342,14.054
24,2025-01-03 12:16:11.185,24.212
24,2025-01-03 11:46:11.131,24.916
24,2025-01-03 11:16:11.043,23.322
24,2025-01-03 10:46:10.966,19.704
24,2025-01-03 10:16:10.909,18.027
24,2025-01-03 10:09:10.061,23.14
24,2025-01-03 09:46:10.828,23.14
24,2025-01-03 09:16:17.777,22.177
24,2025-01-03 08:46:10.706,21.359
24,2025-01-03 08:16:10.655,16.578
24,2025-01-03 07:46:10.611,11.18
24,2025-01-03 07:16:17.643,8.978
24,2025-01-03 06:51:26.285,8.647
24,2025-01-03 06:46:10.61,8.647
24,2025-01-03 06:16:10.605,14.368
24,2025-01-03 05:46:10.607,12.16
24,2025-01-03 05:16:10.607,5.511
24,2025-01-03 04:46:10.617,8.593
24,2025-01-03 04:16:10.655,7.642
24,2025-01-03 03:46:10.61,6.724
24,2025-01-03 03:36:33.9,10.616
24,2025-01-03 03:16:10.653,10.616
24,2025-01-03 02:46:10.663,7.597
24,2025-01-03 02:16:10.757,7.093
24,2025-01-03 01:46:10.798,7.295
24,2025-01-03 01:16:10.784,7.605
24,2025-01-03 00:46:10.756,4.045
24,2025-01-03 00:31:06.543,7.293
24,2025-01-03 00:16:10.76,7.293
24,2025-01-02 23:46:10.751,8.192
24,2025-01-02 22:46:10.761,7.949
24,2025-01-02 21:46:10.772,7.424
24,2025-01-02 21:28:42.1,8.848
24,2025-01-02 21:16:19.355,8.848
24,2025-01-02 20:46:19.343,9.027
24,2025-01-02 20:16:19.334,6.056
24,2025-01-02 19:46:19.341,5.814
24,2025-01-02 19:16:19.33,7.741
24,2025-01-02 18:46:19.313,8.236
24,2025-01-02 18:15:50.445,13.147
24,2025-01-02 18:15:01.107,13.147
24,2025-01-02 17:46:10.519,13.147
24,2025-01-02 17:16:10.501,14.272
24,2025-01-02 16:46:10.511,8.375
24,2025-01-02 16:16:10.503,11.779
24,2025-01-02 15:46:10.463,8.698
24,2025-01-02 14:49:17.628,6.988
24,2025-01-02 14:46:10.488,6.988
24,2025-01-02 14:16:10.538,9.201
24,2025-01-02 13:46:10.497,11.918
24,2025-01-02 13:16:10.48,10.408
24,2025-01-02 12:46:10.504,14.191
24,2025-01-02 12:16:10.523,10.738
24,2025-01-02 11:46:10.528,7.168
24,2025-01-02 11:27:08.309,6.815
