"location_name","latitude","longitude","device_number","device_eui","time","measure_name","value","Date"
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 17:29:25.036,"mc_pm2_5",54.98,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 17:27:05.38,"mc_pm2_5",63.647,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 17:24:46.312,"mc_pm2_5",32.868,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 17:19:44.122,"mc_pm2_5",50.456,2024-12-10
"Fleet Ave. and East 71st St.",41.456319,-81.639257,1,"0004A30B00083D5D",2024-12-10 17:17:54.017,"mc_pm2_5",39.804,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 17:16:28.025,"mc_pm2_5",26.753,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 17:12:01.521,"mc_pm2_5",52.686,2024-12-10
"Coit Road and East 131st Street",41.552492,-81.591944,15,"0004A30B00085FFB",2024-12-10 17:09:44.73,"mc_pm2_5",101.042,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 17:08:35.88,"mc_pm2_5",46.486,2024-12-10
"Bessemer by Tremco",41.46717,-81.63003,25,"0004A30B00085131",2024-12-10 17:08:19.204,"mc_pm2_5",47.075,2024-12-10
"Collinwood Recreation Center",41.57947,-81.56615,2,"0004A30B00084BC5",2024-12-10 17:07:48.728,"mc_pm2_5",24.175,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 17:02:36.352,"mc_pm2_5",28.739,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 17:02:34.859,"mc_pm2_5",31.864,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 17:01:04.961,"mc_pm2_5",29.16,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 16:59:23.52,"mc_pm2_5",31.976,2024-12-10
"East 56th Street and Ferro Avenue",41.446336,-81.650709,8,"0004A30B000838E4",2024-12-10 16:58:26.368,"mc_pm2_5",60.756,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 16:57:05.329,"mc_pm2_5",50.657,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 16:54:46.097,"mc_pm2_5",34.301,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 16:54:07.515,"mc_pm2_5",44.459,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 16:52:56.773,"mc_pm2_5",37.959,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 16:52:39.619,"mc_pm2_5",31.976,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 16:49:44.211,"mc_pm2_5",37.816,2024-12-10
